number,title,author,rating /5⭐,percentage,page count,year pub,genre,sub-genre,date started,date read,time length,review, ,favorites of the year
12,lord of shadows,cassandra clare,4.25,85.00%,699,"2,017",fantasy,teen/ya,February 21,March 27,35.0,"reading this book was truly a marathon that took much longer, including a week or two break in between. it took 34 days to be exact. but my god, that was... something

even the plot itself, was very dense and slow-moving, akin to lady midnight, but yet packed full with story and characters and tension, which thus made it difficult to speed through as i normally do. not to say that things should have been left out, but after reading both this book, lord of the shadows and lady midnight, leaves you feeling reeling, lost, and head full of cotton like the end of a christopher nolan movie. 

the last quarter? of the book i was on my toes, teetering between reading large chunks so i can get to the ""conclusion"" and shying away because it was giving me anxiety with all the tension. with all the puzzle pieces that needed to perfectly fit during the consul meeting, it gave me a sense of hope. and yet i had that dreading feelings as with all books (especially since plot-wise there were to be a whole another thick boy of a book after this one) that Something Was Going To Go Wrong.

yes i did know what was to occur in the last end of the book, because i was a dumbass and was googling and wikipedia-ing the blackthorns and saw the character pages indicate... well let's just say recent events. but i did not know when they were to occur other than in this trilogy and man, i-

much to say that overall i did enjoy reading this book. :-) it was not a flabergastingly amazing book but definitely an adventure with the blackthorns and new and old friends that they meet along the way, all in to save their sister helen and aline from exile", ,
13,icebreaker,hannah grace,4.00,80.00%,435,"2,022",romance,sports,March 28,March 29,2.0,"i feel like that 7tv emote AAAA right now (if you don't know, it's a gif of a distorted cat that looks like it's manically yelling)

this book was truly crack for my romance-loving soul, despite being indifferent to the enemies to lovers trope. also second favorite trope after fake-dating is a sports romance and this did really deliver. i feel the sports romance books i come across are often only set in high school and it was refreshing reading about characters who were in college. i enjoyed this book so much that i nearly read it in one day, going to bed late just because i was so close to the pinnacle of the story, when stassie goes to nationals and then i forced myself to go to bed because i have class in 8 hours. then i woke up early and finished the book lolol

but truly this book was fun yet serious, with stassie needing to overcome her fears and get over those hangups that she's had for a large portion of her life (and as a person that overthinks all the time to an unhealthy extent, i understood her and even related to her at certain points)

the cast of characters were so much fun and make me wish just for a second that i was apart of a jock-friend group in college. just a smidge. but as they were fun they were caring and loving and a little found family of their own though mostly comprised of straight men in collegiate sports lol. 

the minor detail that irked me was when stassie had the same therapist from washington while she was in california. not sure how laws work for california and maybe the author is pulling a loophole, but from learning from a close friend that you have to have a psychologist who is licensed in the same state as you are residing in. i understand for plot purposes that stassie having the same psychologist from when she was back home was pivotal for her to go back home to visit but meh 

damn. now after reading this book i wanna read another collegiate sports romance…
", ,
14,the deal,elle kennedy,3.75,75.00%,360,"2,015",romance,sports,March 29,March 30,368.0,"after reading icebreaker and loving it so much, i was desperate for another sports romance with the characters in college, so here we are (no i'm not delaying reading queen of air and darkness wdym...)

maybe because of a byproduct of reading so many rom-com-y and romance books but most of the major plot points i figured out as i was reading, but despite that (ignoring the little cringe moments) it was enjoyable. will i continue reading the next book in this loosely defined series? maybe... (probably lol) 

i do appreciate that both the male love interest and female lead tackled known heavy topics well and that aspect was not cringe and quite heartwarming with how both hannah and garrett overcame their internal and external struggles", ,
15,book lovers,emily henry,4.75,95.00%,377,"2,022",romance,adult,March 31,April 1,2.0,"going into this book i was a bit apprehensive, for no reason. but my god, i love this book so much. 

the banter, the tension, nora going through waves of fear and anxiety along with the need for control. but also her having such a big growth arc, though maybe not life-changing insane growth but almost realistic baby-step changes and revamping her brain. and i love that for her. 

i was very meh about charlie in the prologue, maybe because the way he was described but it was a turn-off... then as we got to know him more, as nora got to know him more, i grew to love him. 

i think this is my favorite emily henry book. for many reasons but the big one being that i relate to nora in some way of the fear of things out of control, that things would fall apart and nothing will be the same again. and learning and growing out of those fears, acceptance in some ways and taking winning little fights for control in other ways.

sidenote i thought that i would be slow going into this because i was so aprehensive but gUESS not and read it so fast last night lolol", ,
16,queen of air and darkness,cassandra clare,4.50,90.00%,893,"2,018",fantasy,teen/ya,April 2,April 13,12.0,"AAAA (7tv twitch emote of a cat yelling) 
reading this book took much shorter than i thought it would but man after the initial hump of getting over how large and kinda cumbersome it was, i got hooked onto the story very quick. despite a marathon of a read, it felt like a very fast marathon :^)

i also love the cameos/appearances of the old og cast (clary and jace, jem and tessa have my heart. but also magnus and alec and simon and isabelle <3)

the buildup of this book and just overall how the plot flowed out was agonizing with how long and intensive it was yet it was a rollercoaster that i ended up enjoying being on. 

i don't have much to say other than i was very antsy for the end to resolve with the whole cohort situation and yet wanting to stay longer with the blackthorns. it's a complicated ending but i'm happy that things ended in the best way that it could considering the events of the huge battle and such.

(not spoilers but wtff was that epilogue ending???? i'm assuming those plot strands will resolve in a future book? wicked powers mayhaps?)", ,
17,second first impressions,sally thorne,3.75,75.00%,343,"2,021",romance,adult,May 8,April 17,710.0,"given the fact that i started reading this book nearly two years ago and was on and off for the first quarter to third of the book shows how long it took for me to get into it. did not help that i found mel more annoying than endearing with her very snarky? direct and blunt way of helping ruthie. especially when not just mel but also some of the other characters saw ruthie as this sheltered no-life person and almost looked down upon that just bothered me. (maybe because my younger self also related to the quiet, goody-two-shoes kid that maybe has/had anxiety and had a past of losing things or forgetting things due to clumsiness and being constantly reminded of that flaw)

also as a further sidenote, and only a personal thing but ml's with long hair is just a turn off for me and it took awhile to love teddy (though the tats... 0-0) 

BUT other than those gripes, i did very much enjoy the remaining portion of the book (two-thirdsish) and grew to love teddy and mel more and more and understood the many faults of ruthie as well. a very solid growth arc, of learning and trust and enjoying the moment.", ,
18,lovelight farms,b.k. borison,3.75,75.00%,336,"2,021",romance,adult,April 20,April 24,5.0,"i think i read this book simply to read the loose sequel with beckett and evelyn. but the promise of fake-dating appealed to me... and i was mildly disappointed. it didn't deliver the fake-dating juiciness and fun that i normally get ._.

maybe because it was nearly insufferable reading the back and forth, the chemistry and connection that stella and luka have yet are so clueless??? blind?? putting dumb stupid denial as reasoning as to ""they don't like me""?! reflecting on those plot points makes me want to shake their dumb heads. 

but otherwise i did enjoy the small-town vibes (a la gilmore girls of stars hallow and others). the neighbors/community was overbearing but in an endearing way and not an annoying intrusive way. i do enjoy a good christmas themed novel, and on a christmas tree farm? very fun.

(minor spoiler but wtf was that attempt at a spanner in the works in the last two chapters of the book? it felt so rushed with the conflict and resolution of that, just bleh.)

overall it had it's pros and cons but it was a fun read.", ,
19,happy place,emily henry,5.00,100.00%,400,"2,023",romance,adult,April 26,April 28,3.0,"i love love love this book
from starting the first few chapters, i loved how it had all the elements of a fun romance read (fake dating, tight-knit group of friends, an attractive ml etc etc) YET it also had the realism strong (or at least a lot more prominent than other books typical of the genre) and the problems very evident and kept the decision-making of the characters somewhat grounded. 

it really felt like a coming of age romance novel despite the mc and her friends being in their early thirties(?). but maybe it's like the saying ""30's are the new 20's"". how these characters want to cling to those ""good times"" whilst ignoring or not recognizing the bad and wanting to live in the past despite that people grow and change and get older. and it's not a bad thing. 

the central theme being relationships, and not simply just romantic ones but platonic friendship ones too. this book really showcased the awkward, frustrating, painful experience of transitioning out of college/early 20's relationships and those declarations of being friends forever to going back to reality. how it may not end up like that, how those ""life-long"" friendships can evolve as we get older. 

i understood harriet's struggles and her fears, some of them being my own from the past and the present. her need for control and stability in an environment or dynamic where trying to defuse the situation may not be the best or healthy thing to do. the fear of confrontation.

overall i really loved this book, as you can tell, it took me less than 48 hours read it and that is during the release of a highly-anticipated rpg game that came out the same day as this book did lololol 

5 stars (with a slight hesitancy on doing so because i don't want to give it a hard 5 stars but yet i do lmao)

man i really rambled on and on here, lo siento.", ,
20,in the weeds,b.k. borison,4.00,80.00%,334,"2,022",romance,adult,April 29,May 11,13.0,"as with the other book I am currently reading, they all got ~2 weeks of reading time added to them simply because I had no mental capacity to read and just wanted to play video games before passing out during finals lol

but i really enjoyed this book. maybe this further fuels my fantasy of living in a small town being a farmer or baker or something. 

i loved the whole opposites attract with beckett and evie but also they are not entirely opposites because people are multifaceted and can have varied interests. i personally related to beckett on some level, and found his behaviors charming and his crutches relatable. (maybe that’s why i get so frustrated with miscommunication with stories just because i too struggle with having open-communication hmmm…)

overall a good fun read but also has some good points especially towards those self-sacrificing, people-pleasing types D:", ,
21,the spanish love deception,elena armas,4.00,80.00%,487,"2,021",romance,adult,May 21,May 25,8.0,"(i was almost done writing this review and then goodreads mcfricken crashed w/o saving nwucjhagwuhhwuicks)

a woman who constanly overthinks 🤝🏼 a man who has solutions and reassurances for every problem

this was a fun cute book. not to mention my love for the fake-dating trope really shone here. 

and the representation of a spanish family? love (esp as a person that loves the culture of spain from studying it all throughout high school) and the little dialogue lines of spanish were cool (but i could imagine a bit cumbersome for those that cannot read spanish and would have to look up every translation)

the lead up to the actual fake dating in spain was a bit too drawn out imo. just the back and forth and back and forth of if lina was actually gonna accept the proposition even though we (kinda) know and just meta-wise the plot only works if aaron does go lmao. though the slow development of their relationship, building of trust and friendship i did enjoy. 

also ms gurl was taking so long to trust aaron that it got a little annoying with all the doubts and self-gaslighting. like i get it, with the past relationship trauma and the circumstances surrounding it but c’mon even after many signs from aaron and the level of commitment he puts out? aiyah. and the whole plotline of lina believing that he definitely hates her even though she tried to be nice to him just gahh. bleh.

but anyways. fun book.", ,
22,"tomorrow, and tomorrow, and tomorrow",gabrielle zevin,5.00,100.00%,418,"2,022",contemporary,adult,May 18,June 3,17.0,"i first heard of this book in a john green vlogbrothers gifting video. maybe i have known of it earlier too, though looking back at those periods in my life, my knowledge of video games was in its infancy. now maybe i’d like to argue an elementary school kid? middle school? i’d like to argue while you don’t have to know about video games or even play them to read this book, there is a another almost easter egg like layer of understanding when consuming this book when one has consumed video games. 

suffice to say that i really, really love this book. it’s emotional, heartbreaking, yet real and true, descriptors that are in actuality vague and not descriptive at all but c’est la vie. 

though myself am a young person that only is in the tail end of schooling, the emotional ups and downs sam and sadie go through, i understood and related to. the pain and loss, selfishness and stubborness, the feeling of losing yourself to a game when it feels like your small and minute yet very real world is falling apart at the seems. 

these rich characters, in depth and with their growth and failure arcs compelled me from the start. even how the information, the story arcs and how the chapters were laid out, i much enjoyed. also in having diverse minority characters, especially during the time were it starts in the 90’s? :-) love. 

ultimately this book is for the cross-section of (mainly video) gamers and book lovers. 

sorry this review is rambly and doesn’t really make sense ehehe.", ,
23,out of love,hazel hayes,4.00,80.00%,384,"2,020",romance,adult,April 17,June 8,53.0,"firstly the whole plot layout was very intriguing to me ever since i’ve heard of this book. although i might not read it again in the near future, i am curious how the plot would layout if one were to read each chapter/short story in chronological order instead.

but anyways, i’d like to give context. have enjoyed hazel’s youtube content since the days she was under chewingsand, and was excited (and a little nervous) when she announced of a book. after the first few youtubers would release books, i have been always skeptical of them since. not to say that this book is perfect or it isn’t, but I think that overall hazel  did a great job and conveying the emotional journey of a person going through trauma through a relationship, and the pitfalls that occur in tandem because of it. 

when i first started reading this book, i had to put it down after a few chapters due to its emotional heaviness as it was a very stressful lead-up to finals and i needed something light instead. as with the nature of the book’s structure, the emotional heaviness does receed a bit, as we progress backwards into the mc’s life though the story of her and theo’s relationship. 

overall was an enjoyable but quite an emotional book to read. would maybe not rec for those that would be triggered by familial abuse, anxiety, depression, & su1c*de (don’t want to go too in-depth but those topics do get covered, though in reference to the past, and volume of the content decreases down the list)", ,
24,an age of license: a travelogue,lucy knisley,4.50,90.00%,195,"2,014",contemporary,adult,June 24,June 27,4.0,"(i had like 10 pages left after i got off the train so i quickly finished it at my desk and now my brain keeps thinking about it and i need to write down my feelings agaggh)

the amount of times i have heard something along the lines of ""you're young, you have so much freedom in trying so many things. the agency to make mistakes and learn new things"" and while yes, i can understand what they mean, and how they even might be nostalgic of that time in their life, the sentiment feels very repetitive to me. lucy's journey through this travelogue, with all the stumbling in and out of circumstances, the anxieties and the feelings of simply living life, really shine in this book.

this is my third lucy kinsey book that i have read, and i have enjoyed each one immensely. not only the light-hearted, but nonetheless beautiful drawings, but also having thought-provoking, the coming-of-age feeling of looking at your world and your placement in it, draws me in every time.

the title (and its backstory) intrigues me, has me reflecting on my own period in my life. how i have a love-hate feeling towards this current transitory phase in my life and all the ups and downs and experiences it brings.

overall this review has not much reflection of the book other than a connection to the main themes lolol but tidr; pretty pictures, but also thinking about life optimistically for the most part (which is a favorite theme of mine)", ,
25,lillian boxfish takes a walk,kathleen rooney,4.25,85.00%,287,"2,017",historical,adult,October 24,July 4,619.0,"i'm currently in the midst of restarting reading the goldfinch and man what a struggle it is to power through the book. so picking this book up instead from when i started it nearly two years ago felt like a breath of fresh air. (coincidental that both books take place in nyc lol)

even when i first started reading this book in 2021 i loved lillian as a character. witty, sardonic, and yet so loving and idealistic(?) of her city. 

fun enjoyable read.", ,
26,when in rome,sarah adams,4.00,80.00%,320,"2,022",romance,fame/celebrity,July 5,July 6,2.0,"screaming crying giggling and kicking my legs at the two idiots in denial 

suffice to say that i had much fun reading this book and enjoyed every spare moment i had while working to read hehehe 

yes, it is “cliche” and maybe a little predictable and it was full of the classic grumpy x sunshine trope but idc it was fun and maybe just because i was coming off of watching gilmore girls but amelia and noah had some strong lorelai and luke vibes and i was all for it. 

minor gripes; was quite cheesy but imo it was a the good tolerable cheesy and not the cringey cheesy (though amelia calling herself a certain emoji during a steamy moment really threw me off and made me cringe). also what is this slander of noah’s lack of internet and him liking “stereotypical dude rock music” and reading nonfiction biographies? why the lowkey shade?? uncalled for. 

i started to read this book simply so i could have context for the non-sequel sequel and was very pleasantly surprised. 

also i'm disappointed as an avid home baker that this book rarely had any characters do baking
", ,
27,practice makes perfect,sarah adams,4.25,85.00%,335,"2,023",romance,adult,July 6,July 7,2.0,"as a person that (was/is) socially anxious and quiet and got dubbed as being shy and naïve and innocent just because the emotions and thoughts and feelings were not vocalized, i really related to the growing pains and frustrations that annie had. 

i love this book maybe slightly more than when in rome simply because of the relatability and the mixture of rom-com feelings and tropes in the book with very grounded and realistic follow through (imo) i'm also very curious about maddie's story which (supposely) is to be next. 

just content feelings after finishing this book and that's that. 
(also this book really emulates the small town tropes, a la gilmore girls with the town meetings and gossip trains lmao and i love it)", ,
28,the cheat sheet,sarah adams,3.50,70.00%,306,"2,021",romance,sports,July 9,July 10,2.0,"after the two previous romance novels, my other books i'm currently reading seemed unappealing. thus enter the cheat sheet.

was hesitant to read, only did just because i enjoyed when in rome and practice makes perfect, not to mention the reviews of this book was very...mixed. but the friends to lovers AND fake dating tropes made me very curious about this book. i think at the end of the day it was fun to read, but the amount of times i was laughing at the characters (nathan and bree) for the absurdity and extreme self-doubt that the two of them were weaving about the other, was so many. and the cringe? nearly through the roof, but again not like a oh-god cringe but like a i'm laughing at this cringey-ness. 

but i think it's a testament as to me reading this book within 18 hour-period that it was definitely fun to read. so yeah.
", ,
29,before the coffee gets cold,toshikazu kawaguchi,4.00,80.00%,213,"2,015",contemporary,adult,July 5,July 18,14.0,"emotional and heartfelt, this collection of stories about looking at life and it’s many dimensions, trying to change your current circumstances with time travel but in the end not changing anything but having new understanding. 

i really enjoyed reading this and glad i picked this book up even if buying it was kinda on a whim. 

4 stars
—-
individual reviews:

the lovers:
maybe because of the translation the writing style took a moment to get used to but enjoyed this one. melancholy and bittersweet with a positive note at the end as fumiko adjusts to her boyfriend leaving. 
3.75 stars

the husband and wife:
enjoyed learning more “backstory” of the other characters that hang out in the cafe. this one about fusagi was heartbreaking with the circumstances and how illness not only affects the one sick but the people around them. 
3.75 stars

the sisters:
i think i’ve enjoyed this story the most, maybe because of the contrast of two characters, hirai and kumi. how much hirai had lived life with freedom and little whim yet she held so much notion about her younger sister and felt some mixed of guilt and annoyance after disconnecting from her immediate family. yet it all gets connected together by love. 
4 stars

the mother and child:
i think i love this story the most our of the four. similar to the other stories, it does have a note of melancholy but also hopeful of the future and like how kei realizes, a change of heart. despite traveling to the past or the future and the butterfly effect cannot occur, it’s the person time-traveling, the one experiencing a new perspective that has a change of heart. and i love that. 
4.5 stars", ,
30,the american roommate experiment,elena armas,3.75,75.00%,400,"2,022",romance,adult,July 18,July 24,7.0,"despite me loving the spanish love deception, i just couldn’t enjoy this one as much. all the elements were there, from the experimental dating, a mc romance writer, ml with a connection to lina a character i loved from the previous book. but alas

i think it was simply i couldn’t fall in love with lucas. not that he was a bad person or even a badly made character/ml, just his vibe i couldn’t vibe with, couldn’t love him. (my guess is the slight machismo energy bc of his spanish background I’m not crazy about)

I did enjoy the journey that rosie and lucas went through, how they had similar trajectories of feeling lost in their purpose and their dream crumbling a bit in front of them, being stuck and not knowing what to do. 

also slightly sad that there wasn’t as much taco interaction as i wanted ._. lol

overall it was fun to read but ultimately not my cup of tea despite very promising factors
", ,
31,the frugal wizards handbook for surviving medival england,brandon sanderson,4.50,90.00%,399,"2,023",fantasy,adult,July 24,July 27,4.0,"fun, whimsical, tongue in cheek narrator(?) 

this was my first brandon sanderson novel and man after finishing this one, it really encourages me to take a stab at his other books that i’ve been meaning to reading for awhile now. some of the reviews I saw of this book with it being “not as good as his other books” or something makes me curious about his other books

but i digress, i loved the way he told? showed? worldbuilding of this sci fi ish fantasy world with dimensions and time travel esque elements. i really loved how you would explore with the mc this new world he was thrust into on top of losing his memory. many twists and turns and ironic and funny coincidences that make the story all the more enjoyable. 

the characters intriguing, how they all had backstories, many that were unexpected at first instance, and how they each grew or changed through the story

overall very much enjoyed reading this one", ,
32,see you yesterday,rachel lynn solomon,4.25,85.00%,419,"2,022",romance,teen/ya,July 30,August 3,5.0,"i first picked up this book on a whim since i had a coupon for the bookstore on my birthday and the premise sounded fun even though the thought of college makes me a little melancholy since i miss the fun parts of it and feel that it went by too quickly…but i digress.

i have quite a fondness for time travel stories, especially the magical realism kind (e.g., one of my favorite movies is about time) and reading this book was no exception of me enjoying it immensely

though i’m not a fanatic of the grumpy(or in this case more reserved quiet) x sunshine trope per say but when executed well, i do very much enjoy it. barrett and miles fill my heart, how fully flawed and human yet so idealistic, optimistic, to even a fault. i related to both of their struggles in certain aspects, cried when barrett finally told someone, how she realized she had to let go and not keep bottling up those emotioms, her acceptance of needing to be vulnerable to fully heal.

overall, i enjoyed the groundhog day premise and loved the two quirky awkward main characters that were relatable yet cute.", ,
33,how to fake it in hollywood,ava wilder,4.50,90.00%,368,"2,022",romance,fame/celebrity,August 26,August 28,3.0,"yes I did just re-read a book i read a little over a half a year ago, but i craved a contemporary romance especially as i'm trudging through reading both the goldfinch and tender is the night. 

loved it again, and inhaled it nearly as fast as the first time i read this.", ,
34,same time next summer,annabel monaghan,3.75,75.00%,320,"2,023",romance,adult,August 28,September 5,9.0,"the premise intrigued me when i firsted picked it up, especially since i enjoyed monaghan's debut so much. as i kept reading, i had this vague premonition? feeling? that the direction of the book was going, i didn't really want for our main character, sam.

i wanted to like this book but something just didn't vibe with me, personally. overall it was fun to read and i liked the back and forth perspectives with the short chapters between sam and wyatt both in the present and the past. how the story and the main plot point was fun leading up to, learning more about the two's life when they were growing up and what occurred between them for sam to be so cautious and guarded in the present time.

also the thing i expected the book would go into, the trajectory that it did, i was not crazy about, but i guess this is more a nitpicky thing and given that this is a romance novel, i tried to be more forgiving of the childhood lovers trope aha. but it was how sam would leave jack for wyatt, i was not crazy about. how she would essentially jump from one relationship to another after going through many life crises just felt too fast and ideally i would've liked a time skip of like at least a few months after breaking it off with jack to be with wyatt. idk. shrug
BUT, alternatively i did enjoy how sam took the steps to change her life, realizing the rut, this box that she put herself in to protect herself in a sense. and how she took strides to grow and change her circumstances for the better.

sam's character growth, aside from romantic aspects, i did enjoy reading. how she grew from a big change in her life when she was younger and the bitterness that she held onto from her childhood finally unpacking it and the growth from it was exciting.", ,
