number,title,author,star rating,percentage,page count,year pub,genre,sub-genre,date started,date read,time length,review, ,favorites of the year
11,fourth wing,rebecca yarros,4.00,80.00%,517,"2,023",romance,fantasy,2024-02-02,2024-02-03,2.0,"i went into this book with very low expectations, given the fact that it was so highly hyped as well as a large chunk of people that also strongly didn't like it.. and overall i very much enjoyed it. 

also side note but someone did mention that the use of modern-day in the technology world vernacular (a internet gaming meme if you will) threw them off in the first chapter of the book, as it is a fantasy book, having no explanation of why that language is used. once i saw that phrase in the book, it was funny to me, but i was able to ignore it and move on haha

the characters were fun, and the world was a nice place to delve into, all the themes very reminiscent of the fantasy/dystopian/other worldly books that i read when i was in middle school/high school, and it made the feeling very nostalgic (felt very much like sarah j maas' early books). i love to root our underdog protag, especially one who goes under a training arc and grows from it (in more than one way). i liked how the whole school year was this race, with checkpoints that the students would need to succeed and if they fail they essentially die (or take it again next year) and with those stakes it was thrilling, exciting to see violet challenge and ""defy the odds"" as our underdog protag making it through each hurdle. and i also enjoy strong(or growing to be) snarky mc's that some may say are whiny (all within reason sometimes it could get too much), a la celaena sardothien, clary fray, among others of the famed ya genre

the plot and how everything unfolded, from the enemies outright against violet to the further.. let's say to not spoil, details that occur was not surprising? but not like outright bad? in how it was conducted. the events and antagonists felt very common and not unique? like yeah, when a certain character or instance would come up, i would be tense as it happened but not wowed or surprised because it was so unique, i guess. i had a vague suspicion but then forgot about it as the book progressed about what had happened the last third? of the book so the shock for me was mild. 

not to like dog on the book, it was fun and maybe not your most well-constructed fantasy government world (not like a deeply profound or literary work of genius. but not every book needs to be!) or having unique plotlines and characters that twist the story, but it did envelop me in the world (i mean,, as evidenced by the fact that i read this in like a day and a half aha). it's a good fun fantasy story with no complex world building necessarily and yes it does have spice making the genre ""romantasy"" fit and make sense but that didn't hold the book back because it had it and that it wasn't excessive and made sense for the character arcs/plot. 

overall just a good fun fantasy read with no heavy complexities. also it's been a long time since i've read a book about dragons so that was very fun for me :-)", ,
12,you again,kate goldbeck,4.00,80.00%,448,"2,023",romance,contemporary,2024-02-04,2024-02-08,5.0,"i have some mixed feelings about this book but did overall enjoy it, comparatively to other enemies to lovers books, i do feel that the trope was done well and we do get to see the characters grow in their relationship from enemies to lovers.

the book was fun to read, but man the ""growing pains"" between the two characters was rough, as they're both kinda self-loathing (though that is the premise i guess, that two self-loathing miserable people find love). it took a bit to get into the story, to grow to like these two characters, both individually and together. thematically i always love a book discussing about soulmates, the perfect yet very imperfect concept of it, as well as the reconciliation of having a ""person"" with their faults and growing both as two people but together during the relationship.

having the book set in new york city, as a transplant in the city, was fun, having that tidbit of detail where i can actually visualize the location of where they were, what trains they were taking. a minor detail i guess that i like heh

overall, i think it was a solid book, having two rough characters learn and grow (sorta) through the roughness into accepting love for themselves.

(no i have not watched when harry met sally and allegedly this is supposed to be that but apparently from those that both watched and read in other reviews, this book is not)", ,
13,babel,r.f. kuang,5.00,100.00%,544,"2,022",fantasy,historical,2024-02-08,2024-02-15,8.0,"i don't even know what i want to say. i went into this book pretty blind, only knowing that it was rich in detail and had heavy research from the author and it was a fantasy? academia book. and i'd say after finishing it that one doesn't need to know much more than that. (unless that doesn't convince them to read the book, so then maybe it also has themes of systemic oppression as another tidbit of info)

it was beautiful and gripping and so well researched and dense in detail and knowledge. i love the footnotes too, not only adding definitions but would also have little side notes about the characters. the world felt so alive and rich, all in its glory and despair at the same time. as an academic and also minority, though the present times are (maybe) better now compared to then specifically in the book, i empathized with robin and the others with the oppression and difficult circumstances that they faced. the main core characters were so complex and real, with their positive and very strong negatives that imo was clear to me. the morally grey-ness that they all each had, trying to figure out the meaning of justice and freedom. the core of story if all simmered down is about empathy, and as a person that greatly values empathy in a person, i did enjoy? that aspect of the book.

hauntingly powerful book, giving questions about equality and race and the act of translating, not just words but also meaning and understanding across languages, nations, peoples that are still relevant even in the present time.

sidenote: this felt like a breath of fresh air after reading (still good but a different kind of good compared to this book good) books that were fun but maybe didn't have the deepest in substance. a nice balance and such. and now i shall read a light book even though i have a secret history next because i don't think i could do two heavy books in a row lmao
", ,
14,heartstopper: volume three,alice oseman,4.00,80.00%,384,"2,020",romance,teen/ya,2024-02-15,2024-02-16,2.0,"i dont have much to say other than i will continue reading this series and i love it the characters not just the main two but the side characters are all cute and awkward teenagers
", ,
15,flawless,elsie silver,3.50,70.00%,424,"2,022",romance,western,2024-02-19,2024-02-19,1.0,"idk it was nothing amazing or my favorite per say but it was fun and i always enjoy a cowboy/horse-centric vibe environment in a book. 

i think the romance overall was good? and the whole enemies to lovers was okay? i guess. the conflict points was very common romance plot points and how they were carried out was, let’s say how i don’t want relationship starting and conflict to happen is the best way i can describe it lmao. 

also personally not that interested in guys with long hair uh ¯\_(ツ)_/¯ so rhett didn’t have much to start with for me. summer and her people pleasing tendencies which was something i could somewhat relate to along with her having family trauma? that she held onto and how that resolved was alright? not the greatest but not sure how it could have been both revealed and resolved better. 

honestly i just wanted a light read after reading such a heavy intense book previously haha. will i keep reading this series? most likely yes bc, a. cowboys and horses b. a series with revisiting mc’s from previous books ", ,
16,heartless,elsie silver,3.25,65.00%,476,"2,022",romance,western,2024-02-20,2024-02-21,2.0,"i really liked willa and lucas, and grew to like cade but idk it was fun but alright. 

wasnt crazy about the age gap between willa and cade, the 13 yr age gap, as a person that doesnt like 10+ yr age gaps (the only minor exception being that they’re both in the same life stage). in this case was able to move mostly past it as willa was 25 and decently established in her career (sorta) before she meets cade, making them technically be in the same life stage, so mild pass for me ig

enjoyed the whole storyline of willa taking care of lucas as a maternal/female figure in lucas’ life after his mom walked out on him. their close friendship and bond was really cute and i approve of the whole treating kids like little adults, with respect and communication

did not like certain plot points as the story continued, the 3rd act conflict and all that. couldve been done better imo

overall fun but not the best constructed nanny romance aha", ,
17,scythe,neal shusterman,4.50,90.00%,435,"2,016",dystopian,teen/ya,2024-02-28,2024-03-03,5.0,"despite having other books on my tbr, this was my first read book of neal shusterman. very much enjoyed it, especially nowadays havent been that into the teen-aged mc story, but maybe because this is a sci-fi/dystopian i kept forgetting how old citra and rowan was until it was brought up

but anyways i really really enjoyed this story, the world was fascinating and got me hooked from the start. the moral complexities that rowan and citra face and grapple with through their training to become a scythe. 

scythe curie was one of my favorites, and the insight and simply put, her role in the story was fun and interesting. how the story unfolded, keeping the reader just in the dark as rowan and citra were at points, to slowly reveal tidbits and piece by piece, just made the story pacing great here.

i dont know what else to say, i feel like going into this book with little detail made the experience of it all the more exciting and gripping with all the details that you gain. and now i really really want to read thunderhead but i have to wait two months for my ebook library hold to come through ://///", ,
18,powerless,elsie silver,3.00,60.00%,396,"2,023",romance,western,2024-02-22,2024-03-11,19.0,"around halfway i started getting library ebook rentals and then stopped reading it for like a week? or so. maybe also because i wanted a break from romance that i didnt come back to it sooner? ironically i did start reading the next book, winter's story just bc that was the only book on my tbr before i even started this series and i decided to read chronologically for context and easter eggs and whatever, was it worth all that time investing? idk lmao

i think it was fun for what it was, the slow burn was a little too long for me (at the time, but i think decently executed for a slow burn) wish we got to see more of sloane ballet dancing, but i understand for her character arc and the relationships surrounding it, why it wasn't that prominent in the story... or maybe that's just indicative of the lack of character development both individually and together as a couple.. hmmge. we did see glimpses of character personality and development, but then just get shoved into a confrontation or just them fucking (or both xd) so... yeah...

i dunno what else to say, it was fun and alright but i would maybe say there are better hockey romances out there (oh! the hockey wasn't even that prominent lmao, moreso a weird sports romance in a cowboy romance but had neither of those prominent or the main focus so the tone? or vibe of the story didn't lean into either of those tropes that much) so it didn't even have like a trope for me to cling to with the story, as with the other two books had at least that xdd", ,
19,reckless,elsie silver,3.75,75.00%,466,"2,023",romance,western,2024-03-11,2024-03-13,3.0,"i definitely liked this one the best out of the four books that i've read in this series

the whole pregnancy trope did not go how i expected (but once i realized it wasn't going that way i did kinda predict what would happen, which is fine). i think out of all the books i feel like winter and theo had the most character development that we get to see? and the growth from it? still would've liked to see more of the character, but maybe because it was wrapping up strings with their relationships with other characters from previous books it felt like it had more character dev? idk

minor personal gripe that these books have is a lot of spice but not as much plot as i would like, though this book despite the same amount of spice, did have a good enough level of plot for me to enjoy and become invested? interested? to know how things would resolve with the conflicts both with each mc separately and together in their relationship

overall it was fun, for me the best out of the series. 

no i will not be reading the next book bc i cannot read books with big character age gaps, esp that the fem mc is 22 in the book and the dude's 13 years older. i could maybe get by (as i did with the second book) if the youngest is at least into adulthood in their late 20's but that's a strong maybe", ,
20,normal people,sally rooney,3.75,75.00%,273,"2,018",contemporary,romance,2024-03-13,2024-03-19,7.0,"i have mixed feelings about this book, mainly because the themes were so heavy  and it felt like we didnt get to sit in those moments and they just happened as we moved on so quickly.. though i think that this is partially attributed to the writing style, the whole book felt more told not shown because of the more inner monologue description and no quotation marks. 

but i was able to get used to the lack of quotation marks and get into the book for the most part and really grew to like marianne and connell. i appreciated the complexities that the two had, how flawed and within their own heads they were. felt realistic how people are, as per the title “normal people,” all with both light and dark parts of their lives, how get into our heads, bad communication or too much communication (that can become bad communication) 

i liked how we had time jumps between chapters, like we get glimpses into marianne and connell’s lives and their relationship to each other over the course of school and university. as mentioned my main negative is that i do wish we could have more about the character, felt like we were just a little under the surface of them. 

overall i did enjoy it for the most part, the human experience and how complicated it is. there are parts that i didnt care or wish to have more so yeah idk", ,
21,shadow and bone,leigh bardugo,3.75,75.00%,358,"2,012",fantasy,teen/ya,2024-03-22,2024-03-25,4.0,"given that this book has been on my goodreads tbr for almost 10 years and only now have i finally gotten around to reading it, i feel like at the time i would've liked it more? at the time when i read and loved the mortal instruments, throne of glass and all those dystopian fantasy trilogies. it was still fun reading and the premise hooked me, but for how much was going on in the book, it didn't really feel like there was a lot going on. 

i can't quite put my finger on it, but i did see someone's review say how one note? the plot was, and i think i can agree, that at least it was just one plot line going. and at the time of release, sure that would have been good enough, but nowadays, even with those sequels of popular books how those plotlines in later books have become more nuanced. i don't know, maybe that's just the crux of having read so many books that how plotlines go, they can eventually seem predictable and/or inevitable. 

all this to say, the book was fun to read, i really enjoyed the magic system and how the world politics were. the whole high school bullying and classism arc was very blah to me and i did feel it a bit lacking in the plot development in some aspects", ,
22,ready or not,cara bastone,4.25,85.00%,400,"2,024",romance,contemporary,2024-03-29,2024-03-30,2.0,"firstly i always enjoy (usually) books that take place in new york city, and this was no exception

the whole premise but also execution, i felt was done well (for the most part, not too predictable but inevitable). how much eve was handling the change even if it was a bit bumpy and confusing for her for parts of it. liked the messaging of how much one can change with big life changes, such as pregnancy, and also the hindsight too, how the people we interacted and how we felt in the past had led us up to now, in a more content but could still be chaotic time. 

i enjoyed the characters, not just eve and her two love interests(?) ethan and shep but also willa and isamu(i forgot how to spell it) yes they are messy and complicated and ethan especially is a jerk but how more complex they feel? and human in their relationships. but that's what i enjoyed about them, that eve was not only navigating an unplanned pregnancy but also her love life between this guy that she only just clicked that she maybe has feeling for or her baby daddy, along with a lifelong friendship with willa that gets complicated because willa has been struggling with pregnancy herself. 

the plot's quite simple to be fair, and even though there are wrenches thrown in here and there, it's not too surprising, but not overly (imo) predictable. it was fun and i needed a nice chill easy read inbetween the non-fiction and short stories and ya dystopian that's dragging a bit haha ", ,
23,canadian boyfriend,jenny holiday,3.75,75.00%,384,"2,024",romance,contemporary,2024-04-01,2024-04-02,2.0,"i enjoyed reading this, especially during my rough pms symptoms haha 
but, as a person that enjoys sports romance, i would've liked to have more of either mike's hockey or aurora's ballet/dance in the story. 

the personal character growth for both mike and aurora was nice to see, especially with how the book was paced, skipping in time, we got to see the progress over the course of a year or so. that said, was not crazy about the time skips, some made sense but others felt like it was pushing the story along too fast, not getting enough time in that moment and was just being told what happened in that time. idk

but that being said i did like the friends that both aurora and mike had, supportive through their dark times with parents/inlaws and going to therapy. but also, not that i know how i would change it, but the conflict would always resolve so quickly? other than the big one at the end, and even then it did but i felt like i was given the payoff so quickly from the conflict throughout the book and it felt too smooth sailing all the time... just personally wouldve liked maybe a little more conflict or the disagreement to last a bit longer? 

overall was fun but not the best ig", ,
24,siege and storm,leigh bardugo,4.25,85.00%,435,"2,013",fantasy,teen/ya,2024-03-25,2024-04-03,10.0,"this book is so much better than the first one, more interesting plotlines, not like the one plotline from the previous book, shadow and bone, more political tension which i personally enjoy and the whole on the run was very intense but exciting and kept on my toes. would also like to add that there are more prominent? characters, even if side characters, at play, how they all interact, keeping agreements to each other with such wariness and expectation of potential betrayal. a much better upgrade from the petty school clique drama of the first book (though we are not freed from silly teenage annoyances and angst and pettiness unfortunately)

i think those are my main feelings? without getting into much detail that would lead to spoilers but yeah.

fun fact(?) but i started the 3rd book after shadow and bone thinking it was the 2nd book and i was so confused with the prologue where the book was going lmao. only realized when i was trying to add it on my goodreads that i skipped a book xdd

yes, it did have some slow moments between the conflicts but i felt that those were justified to set up those conflicts and tension, even if they were a bit annoyingly slow and drag-y

overall fun? has slightly more complex plotlines with more than just the two teams of “bad guys” and “good guys” even if there was some teaming up i guess. but there are still dumb teenage personalities at play so yeah

4? 4.25? stars", ,
25,ruin and rising,leigh bardugo,4.00,80.00%,350,"2,014",fantasy,teen/ya,2024-04-03,2024-04-05,3.0,"i dont think i liked this book significantly more than the second book so it too will get just 4 stars but also no fractional stars. 

i did enjoy reading, and read fast to find out how alina will face against the darkling, very intense but also not fully satisfied with the ending? like i get it, but also i wished it was a bit more grim and less HEA-feeling. 

the big reveal (that i will not discuss in more detail other than the big reveal) felt like it was delivered well? at least the lead up into it. how it was revealed was kinda just done plainly and i had to re-read the page to realize what was going on. meh

one thing, in hindsight was the worldbuilding, not just in this book but in the series felt strong. the landscapes and politics were evident enough (or maybe i have low expectations for a ya fantasy lmao) maybe bc i'm a person of detail, i liked the details that bardugo gave, while other review did mention how the worldbuilding was a bit tedious (which i can understand and feel to some extent)

i liked in this book how we got to know the characters more, a large chunk being just introduced in the second book. not only more developed and whole, but also developing those relationship dynamics in the ""main"" group. 
i am still very confused (but can see the reasoning after reading other reviews and reddit threads lMAO) why people simp over the darkling and even moreso ship him with alina. but also?? he is a still a toxic manipulative violent man?? hello?? (re: i have noticed that people like him mainly from the influence of the tv show and the actor being attractive... which is still weird imo but okay, ig) i do like their relationship as the heroine vs the villain, with the added dynamic of ""they are the only two people to understand each other and their powers"" yadda which i do like that facet of. i did not like how we were pushed into this pseudo fake-out love triangle, and then also lowkey a love square? with mal, the darkling, and nikolai. (though technically it would just make an E shape since no mlm eerm lol)
i get that mal can seem boring, especially in a fantasy world but c'mon? despite the distance between alina and mal that grew since we first met them, how they navigate the space and their changing relationship (romantic/platonic etc) was interesting to read. 

overall i think it was fun and good and i felt satisfied with how it tied the loose ends to what was left off in book 2. the adventure and journey was great fun to read and the battle was intense? and also feel satisfied with the whole of it. i still like book 2 the most in this trilogy (by like a teeny quarter star rating) and i will be reading six of crows duology and maybe the duology after, as the world is fun and easter eggs and past book/series references are my favorite heh", ,
26,thunderhead,neal shusterman,4.50,90.00%,504,"2,018",dystopian,teen/ya,2024-04-05,2024-04-09,5.0,"mentally reeling from finishing but i’m in public so i can’t yell and rant about that cliffhanger 

but it’s been a month since i’ve read scythe so the cliffhanger of that subsided but nonetheless the book was still very enjoyable even if i didn’t get to read it right after finishing the first book because i was waiting for a library hold 

i much enjoyed the pacing of the book, how each layer and detail was slowly (maybe painstakingly) revealed. the changing of pov’s and just the general vibe of the book having 3rd person omniscient was something that i really enjoyed and felt this book has done well with. we get to know details before the characters know but also certain pieces only revealed as the character finds out as well, because we jumped from one pov to another. 

i really got to enjoy hanging out? learning more about scythe marie curie through scythe anastasia/citra. also the development of relationship between the two, how the mentor/mentee relationship grows, and the closeness that they have. anastasia/citra learning more about being a scythe while working with marie curie, but also the conflict with rowan at the same time.

don’t want to speak on spoilers so i’ll just say this, but i have a lot of questions and am very curious as to what happens with the scythedom with this new information and all that unraveled in the last chapter

overall kept me hooked and i need to read the next book so much, to the point that i’m going to skip reading iron flame even though i’m supposed to return it to the library in 3 days.. ", ,
27,the rule book,sarah adams,3.50,70.00%,356,"2,024",romance,sports,2024-04-10,2024-04-11,2.0,"i felt so heavy after reading many intense fantasy dystopian books and since my library rental on this ebook was gonna end in within a week i decided why not for a fun little break

but i did like this book more than the cheat sheet, the sorta predecessor to this book. still was cheesy and cutesy and i can definitely see people cringing (myself included) at nora's -isms and quips but for the most part they were tolerable and might i even say enjoyable? to an extent.

the book was silly fun and the fake dating trope was sprinkled in there but maybe because i read through the book fast but it felt like it was barely there and would've liked more from it. the ex lovers trope was alright too, it had the tension but then it went away pretty fast once the two reconnected and i would've liked to have more drawn out tension idek

the plot was.. mid to say the least. as with many romance novels, this was also character/relationship driven and it was so close to being a very solid? not always smooth sailing one but it was swerve and miss more intentional interesting plot. i did like how both derek and norah were very whole people with flaws and quirks and a personality (even though they did feel like they were missing something but idk what exactly. missing some minor thing) maybe if it went more into both of their messy childhoods and how that affected them as people would've been the final piece that i feel like is missing. because those tidbits almost felt like plothole because they were brought up enough for it to mean something, other than excuse of norah and derek excusing for their messy qualities. was disappointed that they weren't more important plot points. 

overall it was fun but the book was very much sunshine and rainbows and wouldve liked to have more conflict and plotline beyond just the main one of ""hey we were exes that broke up messily and are now forced to work together""", ,
28,the toll,neal shusterman,4.25,85.00%,625,"2,019",dystopian,teen/ya,2024-04-09,2024-04-20,12.0,"it took a lot longer to read, partially from too much fantasy binging in a few weeks and also it did feel like the plot lines were taking so long to do it's thing. i don't necessarily think there's a section that i would drop to make the pacing better, but also that it did drag, and there is a unknown way to fix it i guess. but that didn't deter me from reading just took longer, couldn't binge/sprint read as i did for scythe and sorta with thunderhead.

i truly love the complexities that shusterman did with all his characters here, how they were introduced, and lead into the story, tidbits gradually told to the point of it being near painful to be patient for the plot arcs to take shape. but at the same time, i liked that we got to spend time with the main players, even the antagonist goddard, learning more about them at that current point and how their personal plans were unfolding all at the same time.

i liked how it wrapped up, as the final book in the trilogy, tying loose ends, having a satisfying ending that is mainly positive but also has that point of realism? or at least it not being the perfect ending, but peaceful.

i don't know what else to say, my spring allergies are acting up right as i'm writing this and my mind is distracted on that instead of my thoughts ermm so yeah it was fun, a bit slow which docked a quarter star compared to scythe and thunderhead because of the pacing. it was intense but had a good resolution", ,
